#rho	velocity
0.3227	1.4027
0.3667	1.2953
0.2280	1.3955
0.2102	1.4078
0.3219	1.4012
0.3668	1.2782
0.2284	1.4008
0.2101	1.4055
0.3223	1.3730
0.3657	1.2735
0.2282	1.4047
0.2105	1.4140
0.3222	1.4032
0.3657	1.2643
0.2283	1.3910
0.2105	1.4132
0.3220	1.3938
0.3656	1.2930
0.2284	1.3922
0.2105	1.4158
0.3223	1.3862
0.3650	1.3207
0.2282	1.3762
0.2107	1.4460
0.3228	1.4258
0.3644	1.3265
0.2280	1.3717
0.2110	1.5043
0.3225	1.4050
0.3644	1.3633
0.2281	1.3790
0.2109	1.5630
0.3236	1.4050
0.3638	1.3760
0.2275	1.3973
0.2111	1.6358
0.3236	1.3983
0.3638	1.3767
0.2275	1.3957
0.2111	1.7000
0.3229	1.4075
0.3633	1.3775
0.2279	1.4110
0.2113	1.7580
0.3230	1.3717
0.3621	1.3963
0.2278	1.4270
0.2117	1.7923
0.3228	1.3760
0.3604	1.3645
0.2279	1.4298
0.2123	1.8205
0.3223	1.3318
0.3589	1.3375
0.2282	1.4403
0.2128	1.8358
0.3220	1.3380
0.3572	1.3262
0.2283	1.4283
0.2134	1.8208
0.3222	1.3832
0.3551	1.3215
0.2282	1.4165
0.2142	1.8053
0.3216	1.3960
0.3541	1.3017
0.2285	1.3848
0.2145	1.7627
0.3214	1.4377
0.3526	1.3080
0.2287	1.3537
0.2151	1.7388
0.3214	1.4432
0.3511	1.3190
0.2287	1.3075
0.2157	1.7082
0.3217	1.4660
0.3511	1.3060
0.2285	1.2885
0.2156	1.6870
0.3222	1.4463
0.3510	1.3087
0.2282	1.2715
0.2157	1.6845
0.3232	1.4643
0.3504	1.2965
0.2277	1.2715
0.2159	1.6995
0.3246	1.4528
0.3496	1.3120
0.2271	1.2912
0.2162	1.7552
0.3252	1.4655
0.3491	1.3332
0.2268	1.3100
0.2164	1.7995
0.3257	1.4380
0.3477	1.3173
0.2265	1.3422
0.2170	1.8725
0.3259	1.4118
0.3459	1.3095
0.2264	1.3787
0.2177	1.9170
0.3257	1.3833
0.3443	1.3197
0.2265	1.4145
0.2183	1.9627
0.3247	1.3605
0.3420	1.3278
0.2270	1.4515
0.2193	1.9897
0.3246	1.3708
0.3400	1.3245
