#rho	velocity
1.0264	0.8078
1.0279	0.8112
1.0290	0.8100
1.0304	0.8085
0.8926	0.8515
1.0300	0.8132
0.8940	0.8558
1.0276	0.8170
0.8953	0.8632
1.0267	0.8115
0.8972	0.8713
1.0263	0.8100
0.8996	0.8800
1.0273	0.8117
0.9018	0.8877
1.0281	0.8115
0.9049	0.8930
1.0297	0.8132
0.9099	0.8987
1.0318	0.8000
0.9135	0.9038
1.0341	0.7857
0.9172	0.9073
1.0358	0.7693
0.9200	0.9100
1.0403	0.7495
0.9223	0.9025
1.0438	0.7415
0.9259	0.8930
1.0478	0.7368
0.9298	0.8882
1.0527	0.7250
0.9341	0.8910
1.0581	0.7222
0.9380	0.8960
1.0637	0.7135
0.9409	0.8997
1.0670	0.7045
0.9446	0.9100
1.0689	0.7132
0.9485	0.9182
1.0715	0.7265
0.9519	0.9208
1.0742	0.7398
0.9567	0.9222
1.0763	0.7440
0.9620	0.9258
1.0768	0.7395
0.9668	0.9223
1.0794	0.7405
0.9715	0.9198
1.0831	0.7432
0.9766	0.9098
1.0864	0.7365
0.9831	0.8990
1.0895	0.7305
0.9894	0.8888
1.0903	0.7300
0.9947	0.8573
1.0889	0.7215
0.9985	0.8272
1.0889	0.7153
1.0016	0.8045
1.0045	0.7812
1.0064	0.7715
1.0086	0.7662
1.0104	0.7555
1.0129	0.7503
1.0148	0.7435
0.8412	0.8497
1.0161	0.7398
0.8432	0.8537
1.0169	0.7525
0.8458	0.8565
1.0179	0.7627
0.8483	0.8580
1.0177	0.7703
0.8518	0.8582
1.0178	0.7865
0.8555	0.8498
1.0183	0.7975
0.8588	0.8430
1.0179	0.8075
0.8623	0.8367
1.0165	0.8105
0.8648	0.8325
1.0169	0.8155
0.8651	0.8305
1.0183	0.8168
0.8645	0.8305
1.0188	0.8090
0.8646	0.8300
1.0202	0.8080
0.8661	0.8303
1.0218	0.8017
0.8663	0.8310
1.0233	0.8000
0.8675	0.8285
1.0249	0.7885
0.8699	0.8405
1.0264	0.7802
0.8707	0.8445
1.0272	0.7808
0.8726	0.8530
1.0272	0.7917
0.8740	0.8522
1.0266	0.7977
0.8762	0.8543
1.0244	0.8032
0.8782	0.8480
1.0230	0.8135
0.8799	0.8495
0.8813	0.8378
0.8825	0.8277
0.8842	0.8122
0.8850	0.7998
0.8853	0.7882
0.8852	0.7762
0.8850	0.7680
0.8851	0.7540
0.8861	0.7590
0.8877	0.7517
0.8897	0.7632
0.8186	0.7400
0.8903	0.7715
0.8210	0.7497
0.8911	0.7843
0.8218	0.7612
0.8919	0.8035
0.8234	0.7733
0.8928	0.8040
0.8243	0.7817
0.8923	0.8150
0.8255	0.7905
0.8935	0.8258
0.8275	0.7990
0.8936	0.8345
0.8275	0.8060
0.8956	0.8288
0.8303	0.8087
0.8976	0.8305
0.8304	0.8072
0.8985	0.8335
0.8300	0.8015
0.8979	0.8355
0.8289	0.7933
0.8965	0.8342
0.8278	0.7828
0.8952	0.8200
0.8266	0.7717
0.8943	0.8268
0.8244	0.7655
0.8941	0.8215
0.8228	0.7650
0.8943	0.8167
0.8226	0.7738
0.8948	0.8030
0.8226	0.7777
0.8950	0.8037
0.8226	0.7903
0.8949	0.8020
0.8220	0.8070
0.8949	0.7908
0.8217	0.8245
0.8232	0.8405
0.8236	0.8490
0.8241	0.8600
0.8256	0.8685
0.8271	0.8690
0.8274	0.8623
0.8290	0.8560
0.8291	0.8402
0.8295	0.8222
0.8290	0.7993
0.8280	0.7808
0.8272	0.7670
0.8269	0.7565
0.8268	0.7480
0.8260	0.7493
0.8245	0.7500
0.8244	0.7578
0.8250	0.7705
0.8258	0.7827
0.8266	0.7985
0.8146	0.8415
0.8265	0.8048
0.8162	0.8518
0.8261	0.8080
0.8180	0.8588
0.8258	0.8078
0.8202	0.8703
0.8255	0.7988
0.8225	0.8798
0.8256	0.7862
0.8252	0.8900
0.8253	0.7817
0.8280	0.8840
0.8246	0.7705
0.8296	0.8813
0.8317	0.8777
0.8336	0.8745
0.8342	0.8730
0.8353	0.8732
0.8363	0.8747
0.8365	0.8713
0.8364	0.8697
0.8354	0.8682
0.8339	0.8870
0.8332	0.8962
0.8321	0.8958
0.8324	0.8935
0.8332	0.8925
0.8339	0.8843
0.8347	0.8808
0.8359	0.8735
0.8368	0.8663
0.8375	0.8530
0.8374	0.8422
0.8376	0.8353
0.8380	0.8473
0.8386	0.8642
0.8391	0.8872
0.8395	0.9202
0.8388	0.9380
0.8375	0.9575
0.7885	0.8280
0.8354	0.9745
0.7843	0.8370
0.8337	0.9897
0.7801	0.8487
0.8325	1.0013
0.7777	0.8600
0.8311	1.0047
0.7756	0.8675
0.8307	0.9962
0.7741	0.8685
0.8305	0.9837
0.7738	0.8630
0.8304	0.9595
0.7738	0.8555
0.8300	0.9320
0.7748	0.8547
0.8294	0.9113
0.7756	0.8435
0.8288	0.8930
0.7753	0.8237
0.8281	0.8695
0.7744	0.8075
0.8274	0.8655
0.7735	0.7948
0.7731	0.7870
0.7729	0.7860
0.7735	0.7933
0.7727	0.8027
0.7722	0.8163
0.7719	0.8200
0.7703	0.8362
0.7682	0.8627
0.7660	0.8845
0.7645	0.9015
0.7649	0.9145
0.7655	0.9270
0.7668	0.9330
0.7678	0.9407
0.9498	0.8900
0.7677	0.9450
0.9466	0.8730
0.7688	0.9442
0.9429	0.8517
0.7682	0.9408
0.9394	0.8320
0.7686	0.9327
0.9356	0.8165
0.7692	0.9195
0.9317	0.8115
0.7701	0.9160
0.9292	0.8175
0.7709	0.9142
0.9269	0.8340
0.7715	0.9147
0.9255	0.8553
0.7720	0.9267
0.9257	0.8740
0.7724	0.9337
0.9250	0.8882
0.7728	0.9445
0.9252	0.9005
0.7736	0.9635
0.9248	0.9127
0.7751	0.9825
0.9232	0.9168
0.7767	0.9940
0.9221	0.9397
0.9201	0.9490
0.9173	0.9630
0.9135	0.9598
0.9107	0.9570
0.9075	0.9543
0.9032	0.9440
0.9004	0.9463
0.8972	0.9468
0.8953	0.9598
0.8925	0.9505
0.8903	0.9510
0.8889	0.9453
0.8864	0.9473
0.8850	0.9487
0.8843	0.9560
0.8827	0.9718
0.8813	0.9823
0.8803	0.9883
0.9309	0.9570
0.8793	0.9972
0.9277	0.9565
0.8786	1.0027
0.9245	0.9525
0.8778	0.9955
0.9203	0.9405
0.8776	0.9987
0.9177	0.9210
0.8762	1.0005
0.9134	0.8980
0.8748	0.9947
0.9101	0.8790
0.8734	0.9840
0.9093	0.8715
0.8737	0.9695
0.9068	0.8785
0.8741	0.9532
0.9060	0.8797
0.8740	0.9410
0.9066	0.9027
0.8743	0.9140
0.9081	0.9160
0.8747	0.8948
0.9110	0.9392
0.8762	0.8907
0.9135	0.9632
0.8786	0.8858
0.9167	0.9968
0.8788	0.8865
